revisionId	branch	timestamp	comment	parent1	parent2
7656:93bde685ce19	infinica_5.0_tthonhofer	Thu Oct 06 12:54:57 CEST 2016	tthonhofer	Close infinica_5.0_tthonhofer branch	7644:3f2cd396145e	null
7655:6d2928f90a5f	infinica_5.1_tthonhofer	Thu Oct 06 12:47:37 CEST 2016	tthonhofer	Merge with infinica_5.0_tthonhofer	7654:7d398d0f6d7c	7654:7d398d0f6d7c
7654:7d398d0f6d7c	infinica_5.1_tthonhofer	Thu Oct 06 12:46:15 CEST 2016	tthonhofer	Changes in Neighbour model	7645:a78ceb9c42a8	null
7653:a204fa6b841f	infinica_5.1	Thu Oct 06 12:07:06 CEST 2016	Matej Kovalik	Merge  from infinica_5.1_mkovalik	7649:4982ff3cf4fb	7649:4982ff3cf4fb
7652:7d5b72721011	infinica_5.1_mkovalik	Thu Oct 06 12:04:42 CEST 2016	Matej Kovalik	compilation fixes	null	null
7651:b1329b9aea0b	infinica_5.1_mkovalik	Thu Oct 06 10:25:11 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7617:7925fd430f26	7617:7925fd430f26
7650:c14c4dd20021	infinica_5.1_tmertes	Thu Oct 06 10:08:58 CEST 2016	tmertes	Merge with infinica_5.1	7648:214d7840a235	7648:214d7840a235
7649:4982ff3cf4fb	infinica_5.1	Thu Oct 06 10:07:44 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7646:ce2a3fcef5ad	7646:ce2a3fcef5ad
7648:214d7840a235	infinica_5.1_tmertes	Thu Oct 06 09:49:22 CEST 2016	tmertes	Merge with infinica_5.1	7647:b89420be069e	7647:b89420be069e
7647:b89420be069e	infinica_5.1_tmertes	Thu Oct 06 09:48:18 CEST 2016	tmertes	TD-2315: Allow undo when the column size is configured from the Outline View	7628:7486c650b204	null
7646:ce2a3fcef5ad	infinica_5.1	Wed Oct 05 18:28:36 CEST 2016	tthonhofer	Merge with infinica_5.1_tthonhofer	7640:0e26965d3e2b	7640:0e26965d3e2b
7645:a78ceb9c42a8	infinica_5.1_tthonhofer	Wed Oct 05 18:03:25 CEST 2016	tthonhofer	Fixed task test case failures	7641:10f5890e895d	null
7644:3f2cd396145e	infinica_5.0_tthonhofer	Wed Oct 05 18:01:06 CEST 2016	tthonhofer	First version of drag and drop functionality	7477:cfcb19c388c6	null
7643:9f240f1885b1	infinica_5.1_sso	Wed Oct 05 17:34:19 CEST 2016	mschedenig	AUL API improvements and XSD.	7639:3b5c22dbc1e5	null
7642:1c34bb1482ed	infinica_5.0	Wed Oct 05 16:20:56 CEST 2016	Matej Kovalik	ESN - handle 'external' authentication	7629:7772a94b2452	null
7641:10f5890e895d	infinica_5.1_tthonhofer	Wed Oct 05 15:39:47 CEST 2016	tthonhofer	Merge with infinica_5.1	7599:73965a03cacb	7599:73965a03cacb
7640:0e26965d3e2b	infinica_5.1	Wed Oct 05 15:14:17 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7632:daa2e56be01d	7632:daa2e56be01d
7639:3b5c22dbc1e5	infinica_5.1_sso	Wed Oct 05 15:00:54 CEST 2016	mschedenig	Code cleanup.	null	null
7638:8a089a631599	infinica_5.1_sso	Wed Oct 05 13:17:43 CEST 2016	mschedenig	Merge with infinica_5.1	7637:33aa92f001ff	7637:33aa92f001ff
7637:33aa92f001ff	infinica_5.1_sso	Wed Oct 05 13:15:02 CEST 2016	mschedenig	Switching SOAP client authentication to UAL.	7621:b57918202c5d	null
7636:b877c68e774c	infinica_5.1_mbranicky	Wed Oct 05 15:13:30 CEST 2016	mbranicky	Merge with infinica_5.1	7635:4e61b9b6134c	7635:4e61b9b6134c
7635:4e61b9b6134c	infinica_5.1_mbranicky	Wed Oct 05 15:12:28 CEST 2016	mbranicky	Composer Comment ID -> removed from list of serializable attributes. Comment Type still not serialized.	null	null
7634:97fcb5042c87	infinica_5.1_mbranicky	Wed Oct 05 13:13:23 CEST 2016	mbranicky	Unused instance variables removed and 'undefined' object missing property fix.	null	null
7633:fecc341c35bf	infinica_5.1_mbranicky	Wed Oct 05 10:08:52 CEST 2016	mbranicky	Syntax highlighter in plain mode now correctly displays string (not at one single line).	7614:38d583bb6849	null
7632:daa2e56be01d	infinica_5.1	Wed Oct 05 15:07:07 CEST 2016	Michal Oravec	Merge	7631:4c9b8ebd7811	7631:4c9b8ebd7811
7631:4c9b8ebd7811	infinica_5.1	Wed Oct 05 15:06:28 CEST 2016	Michal Oravec	Updated JMeter WP test	null	null
7630:afbeb1ace5e6	infinica_5.1	Wed Oct 05 15:04:41 CEST 2016	Michal Oravec	Updated UM feature to create JMeter users and JMeter test	7596:7060040e8956	null
7629:7772a94b2452	infinica_5.0	Wed Oct 05 14:39:44 CEST 2016	mschwarz	Created very specific Process Engine activity for Holding Graz (WEB-IDX post-processing).	7590:d1c4f99c2f3e	null
7628:7486c650b204	infinica_5.1_tmertes	Wed Oct 05 14:23:46 CEST 2016	tmertes	Merge with infinica_5.1	7626:103d5665cccd	7626:103d5665cccd
7627:7aa43108cfa1	infinica_5.1	Wed Oct 05 14:22:05 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7622:09db7e558103	7622:09db7e558103
